Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
11,Jackson Mead,Port Adelaide,Midfielder,20251106,0,3.6,8.82,28,25,0.0,0,81,2,3,5,80.0,53,1,2,1,2,1,1,0,0,3,0,0,0,0,0,0,2,1,10,0
11,Jase Burgoyne,Port Adelaide,Midfielder,20251106,0,3.3,10.04,61,69,0.0,0,91,13,5,18,55.6,271,3,7,6,5,4,6,0,1,4,1,1,0,0,0,1,2,2,10,0
11,Christian Moraes,Port Adelaide,Midfielder,20251106,0,3.2,5.49,55,67,0.0,0,79,7,7,14,78.6,242,4,2,2,2,2,2,0,0,4,0,0,0,0,0,1,2,5,9,0
11,Ollie Lord,Port Adelaide,Key Forward,20251106,0,-0.7,5.07,17,17,0.0,0,65,1,3,4,75.0,45,0,2,1,2,1,0,0,0,1,0,0,1,0,1,0,2,1,3,0
11,Sam Powell-Pepper,Port Adelaide,Gen. Forward,20251106,0,-0.9,8.18,25,36,0.0,0,84,5,4,9,55.6,94,4,3,3,2,2,1,16,1,1,0,0,1,0,1,0,2,3,14,0
11,Joe Richards,Port Adelaide,Gen. Forward,20251106,0,-3.1,8.8,32,48,0.0,0,81,7,6,13,30.8,273,3,7,6,2,2,2,0,3,3,0,0,1,0,1,0,1,1,9,0
13,Zak Butters,Port Adelaide,Midfielder,20251305,10,19.3,15.98,143,104,2.82,83,83,16,16,32,75.0,453,7,21,16,5,4,6,80,12,2,0,0,0,0,0,0,2,7,16,0
13,Miles Bergman,Port Adelaide,Gen. Defender,20251305,2,18.9,8.72,128,104,0.39,1,96,17,6,23,73.9,548,3,11,8,7,4,7,60,3,8,4,2,1,0,0,0,3,4,14,0
13,Willem Drew,Port Adelaide,Midfielder,20251305,0,13.9,11.17,83,83,0.03,0,73,10,8,18,50.0,249,1,9,6,4,2,4,75,6,2,1,0,0,0,0,1,1,10,18,0
13,Kane Farrell,Port Adelaide,Gen. Defender,20251305,0,13.8,8.17,74,67,0.02,0,85,15,2,17,64.7,573,6,2,1,1,1,4,0,1,3,1,0,3,1,2,0,4,1,10,0
