Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles
14,Patrick Dangerfield,Geelong,11.0,7.0,4.0,0.64,0.36,3.0,2.0,2.0
14,Rhys Stanley,Geelong,11.0,7.0,4.0,0.64,0.36,4.0,1.0,1.0
14,Sam De Koning,Geelong,,,,,,,,
14,Shannon Neale,Geelong,13.0,10.0,3.0,0.77,0.23,9.0,4.0,2.0
14,Shaun Mannagh,Geelong,14.0,11.0,3.0,0.79,0.21,3.0,3.0,5.0
14,Tom Atkins,Geelong,18.0,5.0,13.0,0.28,0.72,2.0,0.0,9.0
14,Tom Stewart,Geelong,23.0,19.0,4.0,0.83,0.17,16.0,0.0,0.0
14,Tyson Stengle,Geelong,17.0,8.0,9.0,0.47,0.53,4.0,1.0,2.0
14,Zach Guthrie,Geelong,20.0,8.0,12.0,0.4,0.6,8.0,0.0,2.0
15,Bailey Smith,Geelong,28.0,18.0,10.0,0.64,0.36,3.0,0.0,4.0
15,Brad Close,Geelong,9.0,5.0,4.0,0.56,0.44,2.0,0.0,2.0
15,Connor O'Sullivan,Geelong,16.0,7.0,9.0,0.44,0.56,2.0,0.0,2.0
15,Gryan Miers,Geelong,15.0,12.0,3.0,0.8,0.2,7.0,1.0,2.0
15,Jack Henry,Geelong,12.0,12.0,0.0,1.0,0.0,7.0,0.0,2.0
15,Jack Martin,Geelong,21.0,10.0,11.0,0.48,0.52,7.0,0.0,2.0
15,Jeremy Cameron,Geelong,8.0,8.0,0.0,1.0,0.0,4.0,4.0,0.0
15,Lawson Humphries,Geelong,15.0,12.0,3.0,0.8,0.2,4.0,0.0,1.0
15,Mark Blicavs,Geelong,10.0,8.0,2.0,0.8,0.2,4.0,0.0,2.0
15,Mark O'Connor,Geelong,8.0,7.0,1.0,0.88,0.12,3.0,0.0,4.0
15,Max Holmes,Geelong,23.0,11.0,12.0,0.48,0.52,2.0,0.0,3.0
15,Mitch Duncan,Geelong,,,,,,,,
15,Oisin Mullin,Geelong,10.0,3.0,7.0,0.3,0.7,3.0,0.0,1.0
15,Oliver Dempsey,Geelong,10.0,8.0,2.0,0.8,0.2,4.0,0.0,3.0
15,Oliver Henry,Geelong,,,,,,,,
15,Patrick Dangerfield,Geelong,15.0,10.0,5.0,0.67,0.33,2.0,0.0,2.0
15,Rhys Stanley,Geelong,11.0,6.0,5.0,0.55,0.45,2.0,0.0,1.0
15,Shannon Neale,Geelong,10.0,5.0,5.0,0.5,0.5,3.0,1.0,0.0
15,Shaun Mannagh,Geelong,10.0,8.0,2.0,0.8,0.2,3.0,0.0,3.0
15,Tom Atkins,Geelong,21.0,11.0,10.0,0.52,0.48,3.0,0.0,6.0
15,Tom Stewart,Geelong,22.0,15.0,7.0,0.68,0.32,7.0,0.0,1.0
15,Tyson Stengle,Geelong,15.0,8.0,7.0,0.53,0.47,0.0,0.0,1.0
15,Zach Guthrie,Geelong,8.0,5.0,3.0,0.62,0.38,3.0,0.0,5.0
17,Brad Close,Geelong,14.0,11.0,3.0,0.79,0.21,5.0,2.0,1.0
17,Connor O'Sullivan,Geelong,10.0,6.0,4.0,0.6,0.4,4.0,0.0,1.0
17,George Stevens,Geelong,21.0,11.0,10.0,0.52,0.48,3.0,1.0,3.0
17,Gryan Miers,Geelong,29.0,19.0,10.0,0.66,0.34,5.0,0.0,2.0
17,Jack Bowes,Geelong,15.0,8.0,7.0,0.53,0.47,4.0,2.0,3.0
17,Jack Henry,Geelong,14.0,11.0,3.0,0.79,0.21,7.0,0.0,1.0
17,Jack Martin,Geelong,25.0,15.0,10.0,0.6,0.4,9.0,1.0,3.0
17,Jeremy Cameron,Geelong,19.0,16.0,3.0,0.84,0.16,11.0,4.0,1.0
17,Lawson Humphries,Geelong,13.0,8.0,5.0,0.62,0.38,5.0,0.0,0.0
17,Mark Blicavs,Geelong,11.0,2.0,9.0,0.18,0.82,3.0,0.0,1.0
17,Mark O'Connor,Geelong,15.0,11.0,4.0,0.73,0.27,7.0,0.0,4.0
17,Max Holmes,Geelong,36.0,18.0,18.0,0.5,0.5,7.0,1.0,1.0
17,Mitch Duncan,Geelong,,,,,,,,
17,Oisin Mullin,Geelong,10.0,3.0,7.0,0.3,0.7,1.0,0.0,2.0
17,Oliver Dempsey,Geelong,18.0,10.0,8.0,0.56,0.44,2.0,0.0,2.0
17,Oliver Henry,Geelong,10.0,7.0,3.0,0.7,0.3,3.0,1.0,4.0
