Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
6,Bailey Banfield,Fremantle,,,,,,,,,Gen. Defender
6,Brennan Cox,Fremantle,7.0,4.0,3.0,0.57,0.43,3.0,0.0,1.0,Key Defender
6,Caleb Serong,Fremantle,27.0,9.0,18.0,0.33,0.67,0.0,0.0,4.0,Midfielder
6,Hayden Young,Fremantle,25.0,13.0,12.0,0.52,0.48,5.0,0.0,4.0,Midfielder
6,Isaiah Dudley,Fremantle,,,,,,,,,Gen. Forward
6,Jaeger O'Meara,Fremantle,,,,,,,,,Midfielder
6,James Aish,Fremantle,14.0,9.0,5.0,0.64,0.36,4.0,0.0,0.0,Gen. Defender
6,Jeremy Sharp,Fremantle,18.0,12.0,6.0,0.67,0.33,4.0,1.0,1.0,Midfielder
6,Jordan Clark,Fremantle,22.0,14.0,8.0,0.64,0.36,5.0,0.0,3.0,Gen. Defender
6,Josh Treacy,Fremantle,6.0,5.0,1.0,0.83,0.17,4.0,1.0,2.0,Key Forward
6,Joshua Draper,Fremantle,10.0,5.0,5.0,0.5,0.5,1.0,0.0,2.0,Key Defender
6,Jye Amiss,Fremantle,8.0,7.0,1.0,0.88,0.12,2.0,3.0,2.0,Key Forward
6,Karl Worner,Fremantle,15.0,12.0,3.0,0.8,0.2,8.0,0.0,1.0,Gen. Defender
6,Luke Ryan,Fremantle,17.0,13.0,4.0,0.76,0.24,3.0,0.0,3.0,Gen. Defender
6,Matthew Johnson,Fremantle,13.0,2.0,11.0,0.15,0.85,1.0,0.0,1.0,Midfielder
6,Michael Frederick,Fremantle,8.0,5.0,3.0,0.62,0.38,1.0,0.0,4.0,Gen. Forward
6,Murphy Reid,Fremantle,17.0,14.0,3.0,0.82,0.18,3.0,1.0,2.0,Gen. Forward
6,Oscar McDonald,Fremantle,9.0,6.0,3.0,0.67,0.33,5.0,1.0,4.0,Key Defender
6,Sam Switkowski,Fremantle,16.0,5.0,11.0,0.31,0.69,6.0,0.0,0.0,Gen. Forward
