Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
11,Izak Rankine,Adelaide,Mid-Forward,20251107,4,12.6,13.46,87,89,0.28,1,88,14,9,23,60.9,502,6,12,7,5,4,1,33,6,3,0,1,4,1,2,2,10,4,12,0
11,Sam Berry,Adelaide,Midfielder,20251107,2,12.3,10.29,130,123,0.58,3,71,15,11,26,80.8,493,2,6,3,2,2,2,43,4,6,1,0,1,1,0,1,7,9,20,0
11,Ben Keays,Adelaide,Gen. Forward,20251107,0,12.3,10.02,99,69,0.0,0,88,7,5,12,91.7,194,1,7,5,6,5,1,0,2,3,0,0,1,1,0,1,5,6,21,0
11,Mitchell Hinge,Adelaide,Gen. Defender,20251107,0,8.6,10.16,77,73,0.01,0,86,15,5,20,75.0,505,3,5,4,3,2,3,0,2,7,1,1,0,0,0,0,2,0,12,0
11,Josh Worrell,Adelaide,Gen. Defender,20251107,0,8.6,8.78,74,83,0.02,0,85,16,10,26,76.9,569,3,6,6,5,5,5,0,1,6,1,0,0,0,0,0,4,0,6,0
11,Jake Soligo,Adelaide,Midfielder,20251107,0,8.1,11.56,78,81,0.02,0,82,12,7,19,63.2,356,4,6,5,1,1,1,50,2,3,0,0,2,0,1,0,6,5,25,0
11,Isaac Cumming,Adelaide,Midfielder,20251107,0,7.9,8.11,52,49,0.0,0,78,11,5,16,56.3,319,5,9,7,5,4,3,0,4,1,0,0,0,0,0,1,5,2,9,0
11,Mark Keane,Adelaide,Key Defender,20251107,0,7.7,10.17,86,59,0.0,0,92,11,3,14,71.4,190,0,4,2,4,2,8,0,0,5,3,0,0,0,0,0,1,1,6,0
11,Jordon Butts,Adelaide,Key Defender,20251107,0,7.4,6.07,52,32,0.0,0,88,4,5,9,88.9,78,0,4,2,4,2,4,0,0,3,1,1,0,0,0,0,0,0,3,0
11,Luke Pedlar,Adelaide,Gen. Forward,20251107,0,7.3,6.27,79,67,0.0,0,68,8,3,11,63.6,204,2,4,4,4,4,0,0,0,4,0,0,3,2,1,0,7,3,9,0
