Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
19,Jacob Hopper,Richmond,Midfielder,33.0,13.0,20.0,0.39,0.61,6.0,2.0,4.0,6.61,1.83,4.78,2.74
19,Jacob Koschitzke,Richmond,Key Forward,9.0,4.0,5.0,0.44,0.56,3.0,0.0,1.0,1.5,1.0,0.5,0.0
19,James Trezise,Richmond,Midfielder,,,,,,,,,,,,
19,Jayden Short,Richmond,Gen. Defender,14.0,12.0,2.0,0.86,0.14,3.0,1.0,1.0,-7.2,-4.8,-2.4,-4.0
19,Jonty Faull,Richmond,Key Forward,11.0,7.0,4.0,0.64,0.36,4.0,2.0,1.0,3.75,2.12,1.62,1.25
19,Kamdyn McIntosh,Richmond,Midfielder,18.0,8.0,10.0,0.44,0.56,4.0,0.0,1.0,3.52,-0.04,3.57,0.39
19,Luke Trainor,Richmond,Gen. Defender,,,,,,,,,,,,
19,Maurice Rioli,Richmond,Gen. Forward,13.0,10.0,3.0,0.77,0.23,2.0,0.0,2.0,4.54,4.46,0.08,-0.08
19,Nathan Broad,Richmond,Gen. Defender,16.0,10.0,6.0,0.62,0.38,8.0,0.0,2.0,1.96,0.41,1.54,2.14
19,Nick Vlastuin,Richmond,Gen. Defender,25.0,18.0,7.0,0.72,0.28,11.0,0.0,1.0,5.86,3.96,1.91,4.91
19,Rhyan Mansell,Richmond,Gen. Forward,15.0,12.0,3.0,0.8,0.2,2.0,3.0,2.0,3.75,4.25,-0.5,-1.35
19,Sam Banks,Richmond,Gen. Defender,24.0,16.0,8.0,0.67,0.33,8.0,0.0,1.0,2.91,2.14,0.77,3.36
19,Seth Campbell,Richmond,Gen. Forward,,,,,,,,,,,,
19,Taj Hotton,Richmond,Gen. Forward,16.0,3.0,13.0,0.19,0.81,1.0,0.0,2.0,3.29,-1.43,4.71,-2.14
19,Thomas Sims,Richmond,Key Forward,6.0,4.0,2.0,0.67,0.33,2.0,1.0,3.0,-0.82,0.18,-1.0,-0.18
