Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
4,Harrison Petty,Melbourne,5.0,2.0,3.0,0.4,0.6,2.0,0.0,1.0,Key Forward
4,Harry Sharp,Melbourne,,,,,,,,,Gen. Forward
4,Harvey Langford,Melbourne,11.0,4.0,7.0,0.36,0.64,0.0,1.0,1.0,Midfielder
4,Jack Henderson,Melbourne,9.0,6.0,3.0,0.67,0.33,3.0,0.0,1.0,Gen. Forward
4,Jack Viney,Melbourne,15.0,8.0,7.0,0.53,0.47,1.0,0.0,3.0,Midfielder
4,Jacob van Rooyen,Melbourne,10.0,4.0,6.0,0.4,0.6,1.0,1.0,3.0,Key Forward
4,Jake Bowey,Melbourne,20.0,16.0,4.0,0.8,0.2,2.0,0.0,3.0,Gen. Defender
4,Jake Melksham,Melbourne,8.0,5.0,3.0,0.62,0.38,3.0,0.0,2.0,Key Forward
4,Kade Chandler,Melbourne,11.0,8.0,3.0,0.73,0.27,3.0,0.0,2.0,Gen. Forward
4,Kysaiah Pickett,Melbourne,22.0,12.0,10.0,0.55,0.45,5.0,0.0,4.0,Mid-Forward
4,Max Gawn,Melbourne,15.0,8.0,7.0,0.53,0.47,4.0,0.0,3.0,Ruck
4,Steven May,Melbourne,27.0,24.0,3.0,0.89,0.11,10.0,0.0,0.0,Key Defender
4,Tom McDonald,Melbourne,17.0,14.0,3.0,0.82,0.18,10.0,0.0,3.0,Key Defender
4,Tom Sparrow,Melbourne,5.0,3.0,2.0,0.6,0.4,2.0,0.0,3.0,Gen. Forward
4,Trent Rivers,Melbourne,13.0,5.0,8.0,0.38,0.62,2.0,0.0,0.0,Gen. Defender
5,Bayley Fritsch,Melbourne,10.0,6.0,4.0,0.6,0.4,4.0,2.0,5.0,Gen. Forward
5,Caleb Windsor,Melbourne,13.0,6.0,7.0,0.46,0.54,5.0,0.0,2.0,Gen. Defender
5,Charlie Spargo,Melbourne,12.0,6.0,6.0,0.5,0.5,2.0,0.0,1.0,Gen. Forward
5,Christian Petracca,Melbourne,27.0,13.0,14.0,0.48,0.52,6.0,0.0,5.0,Mid-Forward
5,Christian Salem,Melbourne,21.0,15.0,6.0,0.71,0.29,10.0,0.0,2.0,Gen. Defender
5,Clayton Oliver,Melbourne,24.0,6.0,18.0,0.25,0.75,2.0,0.0,9.0,Midfielder
5,Ed Langdon,Melbourne,25.0,19.0,6.0,0.76,0.24,12.0,1.0,1.0,Mid-Forward
5,Harrison Petty,Melbourne,10.0,5.0,5.0,0.5,0.5,5.0,1.0,0.0,Key Forward
5,Harry Sharp,Melbourne,,,,,,,,,Gen. Forward
5,Harvey Langford,Melbourne,23.0,11.0,12.0,0.48,0.52,5.0,0.0,1.0,Midfielder
5,Jack Henderson,Melbourne,,,,,,,,,Gen. Forward
5,Jack Viney,Melbourne,21.0,11.0,10.0,0.52,0.48,2.0,0.0,5.0,Midfielder
