Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
4,Cameron Zurhaar,North Melbourne,Gen. Forward,12.0,9.0,3.0,0.75,0.25,8.0,1.0,0.0,1.46,1.36,0.09,4.14
4,Charlie Comben,North Melbourne,Key Defender,15.0,5.0,10.0,0.33,0.67,3.0,0.0,1.0,2.75,-2.5,5.25,-2.5
4,Colby McKercher,North Melbourne,Gen. Defender,22.0,13.0,9.0,0.59,0.41,4.0,1.0,1.0,-1.13,-1.87,0.74,0.61
4,Darcy Tucker,North Melbourne,Gen. Defender,20.0,13.0,7.0,0.65,0.35,8.0,0.0,1.0,6.71,5.71,1.0,4.29
4,Dylan Stephens,North Melbourne,Midfielder,18.0,8.0,10.0,0.44,0.56,7.0,0.0,1.0,0.5,-1.36,1.86,2.32
4,Griffin Logue,North Melbourne,Key Defender,13.0,9.0,4.0,0.69,0.31,7.0,0.0,2.0,1.38,3.19,-1.81,2.38
4,Harry Sheezel,North Melbourne,Mid-Forward,34.0,19.0,15.0,0.56,0.44,9.0,0.0,3.0,4.7,4.17,0.52,3.22
4,Jack Darling,North Melbourne,Key Forward,6.0,3.0,3.0,0.5,0.5,3.0,0.0,1.0,-3.77,-3.32,-0.46,-0.36
4,Jacob Konstanty,North Melbourne,Gen. Forward,16.0,8.0,8.0,0.5,0.5,4.0,0.0,1.0,6.87,3.04,3.83,2.35
4,Jy Simpkin,North Melbourne,Mid-Forward,22.0,13.0,9.0,0.59,0.41,4.0,0.0,4.0,-0.14,0.19,-0.33,-0.05
4,Luke Davies-Uniacke,North Melbourne,Midfielder,25.0,14.0,11.0,0.56,0.44,6.0,0.0,5.0,0.27,2.32,-2.04,2.27
4,Luke McDonald,North Melbourne,Gen. Defender,18.0,10.0,8.0,0.56,0.44,7.0,0.0,1.0,2.53,0.73,1.8,2.53
4,Luke Parker,North Melbourne,Midfielder,27.0,11.0,16.0,0.41,0.59,3.0,2.0,8.0,3.68,-0.46,4.14,-0.54
4,Matt Whitlock,North Melbourne,Key Defender,,,,,,,,,,,,
4,Nick Larkey,North Melbourne,Key Forward,9.0,4.0,5.0,0.44,0.56,3.0,2.0,0.0,-0.71,-2.35,1.65,-1.59
4,Paul Curtis,North Melbourne,Gen. Forward,14.0,9.0,5.0,0.64,0.36,6.0,2.0,5.0,2.26,1.11,1.16,2.05
4,Riley Hardeman,North Melbourne,Gen. Defender,,,,,,,,,,,,
4,Robert Hansen Jr,North Melbourne,Mid-Forward,7.0,6.0,1.0,0.86,0.14,5.0,0.0,0.0,-1.67,0.83,-2.5,2.83
4,Tom Powell,North Melbourne,Midfielder,22.0,10.0,12.0,0.45,0.55,6.0,0.0,5.0,-1.0,-0.48,-0.52,2.17
4,Tristan Xerri,North Melbourne,Ruck,18.0,6.0,12.0,0.33,0.67,2.0,0.0,3.0,0.75,-0.15,0.9,0.35
5,Aidan Corr,North Melbourne,Key Defender,14.0,10.0,4.0,0.71,0.29,2.0,0.0,1.0,0.3,0.0,0.3,-2.3
5,Caleb Daniel,North Melbourne,Gen. Defender,32.0,16.0,16.0,0.5,0.5,3.0,0.0,2.0,6.39,-0.35,6.74,-0.83
5,Cameron Zurhaar,North Melbourne,Gen. Forward,9.0,5.0,4.0,0.56,0.44,2.0,1.0,4.0,-1.54,-2.64,1.09,-1.86
5,Charlie Comben,North Melbourne,Key Defender,10.0,7.0,3.0,0.7,0.3,6.0,0.0,1.0,-2.25,-0.5,-1.75,0.5
5,Colby McKercher,North Melbourne,Gen. Defender,8.0,4.0,4.0,0.5,0.5,3.0,0.0,0.0,-15.13,-10.87,-4.26,-0.39
