Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
4,Josh Dunkley,Brisbane,30.0,9.0,21.0,0.3,0.7,3.0,0.0,10.0,Midfielder
4,Lachie Neale,Brisbane,42.0,15.0,27.0,0.36,0.64,1.0,0.0,4.0,Midfielder
4,Levi Ashcroft,Brisbane,22.0,11.0,11.0,0.5,0.5,4.0,1.0,1.0,Midfielder
4,Logan Morris,Brisbane,11.0,7.0,4.0,0.64,0.36,6.0,2.0,2.0,Key Forward
4,Noah Answerth,Brisbane,9.0,5.0,4.0,0.56,0.44,4.0,0.0,3.0,Gen. Defender
4,Oscar McInerney,Brisbane,11.0,5.0,6.0,0.45,0.55,2.0,0.0,4.0,Ruck
4,Ryan Lester,Brisbane,7.0,4.0,3.0,0.57,0.43,1.0,0.0,2.0,Gen. Defender
4,Sam Day,Brisbane,9.0,5.0,4.0,0.56,0.44,4.0,0.0,4.0,Key Forward
4,Will Ashcroft,Brisbane,24.0,16.0,8.0,0.67,0.33,4.0,2.0,4.0,Midfielder
4,Will McLachlan,Brisbane,,,,,,,,,Gen. Forward
4,Zac Bailey,Brisbane,13.0,10.0,3.0,0.77,0.23,2.0,3.0,3.0,Mid-Forward
5,Bruce Reville,Brisbane,,,,,,,,,Midfielder
5,Callum Ah Chee,Brisbane,22.0,8.0,14.0,0.36,0.64,6.0,2.0,4.0,Gen. Forward
5,Cam Rayner,Brisbane,14.0,8.0,6.0,0.57,0.43,3.0,2.0,1.0,Gen. Forward
5,Charlie Cameron,Brisbane,8.0,6.0,2.0,0.75,0.25,4.0,0.0,7.0,Gen. Forward
5,Darcy Wilmot,Brisbane,16.0,11.0,5.0,0.69,0.31,3.0,1.0,1.0,Gen. Defender
5,Dayne Zorko,Brisbane,23.0,20.0,3.0,0.87,0.13,6.0,0.0,2.0,Gen. Defender
5,Eric Hipwood,Brisbane,12.0,11.0,1.0,0.92,0.08,5.0,5.0,2.0,Key Forward
5,Harris Andrews,Brisbane,14.0,13.0,1.0,0.93,0.07,11.0,0.0,1.0,Key Defender
5,Hugh McCluggage,Brisbane,32.0,15.0,17.0,0.47,0.53,3.0,0.0,6.0,Midfielder
5,Jack Payne,Brisbane,16.0,9.0,7.0,0.56,0.44,5.0,0.0,2.0,Key Defender
5,Jarrod Berry,Brisbane,19.0,12.0,7.0,0.63,0.37,5.0,0.0,5.0,Midfielder
5,Jaspa Fletcher,Brisbane,25.0,18.0,7.0,0.72,0.28,6.0,0.0,3.0,Gen. Defender
5,Josh Dunkley,Brisbane,22.0,10.0,12.0,0.45,0.55,4.0,0.0,8.0,Midfielder
5,Lachie Neale,Brisbane,28.0,14.0,14.0,0.5,0.5,7.0,0.0,2.0,Midfielder
5,Levi Ashcroft,Brisbane,22.0,16.0,6.0,0.73,0.27,6.0,1.0,2.0,Midfielder
5,Logan Morris,Brisbane,15.0,9.0,6.0,0.6,0.4,4.0,4.0,1.0,Key Forward
5,Noah Answerth,Brisbane,12.0,9.0,3.0,0.75,0.25,5.0,0.0,2.0,Gen. Defender
5,Oscar McInerney,Brisbane,8.0,4.0,4.0,0.5,0.5,0.0,0.0,2.0,Ruck
5,Ryan Lester,Brisbane,14.0,8.0,6.0,0.57,0.43,3.0,0.0,0.0,Gen. Defender
5,Sam Day,Brisbane,7.0,6.0,1.0,0.86,0.14,6.0,0.0,3.0,Key Forward
5,Will Ashcroft,Brisbane,31.0,14.0,17.0,0.45,0.55,1.0,0.0,5.0,Midfielder
5,Will McLachlan,Brisbane,,,,,,,,,Gen. Forward
5,Zac Bailey,Brisbane,20.0,16.0,4.0,0.8,0.2,5.0,3.0,2.0,Mid-Forward
6,Callum Ah Chee,Brisbane,6.0,2.0,4.0,0.33,0.67,3.0,0.0,0.0,Gen. Forward
6,Cam Rayner,Brisbane,9.0,7.0,2.0,0.78,0.22,3.0,2.0,0.0,Gen. Forward
6,Charlie Cameron,Brisbane,10.0,9.0,1.0,0.9,0.1,7.0,0.0,1.0,Gen. Forward
6,Darcy Wilmot,Brisbane,15.0,13.0,2.0,0.87,0.13,7.0,0.0,0.0,Gen. Defender
6,Dayne Zorko,Brisbane,20.0,19.0,1.0,0.95,0.05,6.0,0.0,1.0,Gen. Defender
6,Eric Hipwood,Brisbane,13.0,10.0,3.0,0.77,0.23,5.0,2.0,2.0,Key Forward
6,Harris Andrews,Brisbane,14.0,12.0,2.0,0.86,0.14,10.0,0.0,2.0,Key Defender
6,Hugh McCluggage,Brisbane,20.0,9.0,11.0,0.45,0.55,4.0,0.0,1.0,Midfielder
6,Jack Payne,Brisbane,12.0,10.0,2.0,0.83,0.17,5.0,0.0,0.0,Key Defender
6,James Tunstill,Brisbane,,,,,,,,,Midfielder
6,Jarrod Berry,Brisbane,18.0,11.0,7.0,0.61,0.39,5.0,0.0,5.0,Midfielder
6,Jaspa Fletcher,Brisbane,18.0,11.0,7.0,0.61,0.39,6.0,0.0,2.0,Gen. Defender
6,Josh Dunkley,Brisbane,21.0,14.0,7.0,0.67,0.33,8.0,0.0,4.0,Midfielder
6,Lachie Neale,Brisbane,25.0,10.0,15.0,0.4,0.6,5.0,0.0,1.0,Midfielder
6,Levi Ashcroft,Brisbane,19.0,10.0,9.0,0.53,0.47,5.0,0.0,0.0,Midfielder
6,Logan Morris,Brisbane,10.0,5.0,5.0,0.5,0.5,3.0,0.0,0.0,Key Forward
6,Noah Answerth,Brisbane,13.0,13.0,0.0,1.0,0.0,7.0,0.0,1.0,Gen. Defender
6,Oscar McInerney,Brisbane,13.0,10.0,3.0,0.77,0.23,4.0,2.0,0.0,Ruck
6,Ryan Lester,Brisbane,13.0,9.0,4.0,0.69,0.31,7.0,0.0,1.0,Gen. Defender
