Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
24,Jobe Shanahan,West Coast,6.0,6.0,0.0,1.0,0.0,3.0,3.0,1.0,Key Forward
24,Liam Baker,West Coast,26.0,11.0,15.0,0.42,0.58,8.0,0.0,1.0,Gen. Defender
24,Liam Ryan,West Coast,11.0,10.0,1.0,0.91,0.09,7.0,0.0,1.0,Gen. Forward
24,Lucca Grego,West Coast,14.0,9.0,5.0,0.64,0.36,5.0,0.0,1.0,Midfielder
24,Matt Flynn,West Coast,14.0,5.0,9.0,0.36,0.64,5.0,1.0,0.0,Ruck
24,Noah Long,West Coast,12.0,4.0,8.0,0.33,0.67,2.0,0.0,2.0,Gen. Forward
24,Reuben Ginbey,West Coast,,,,,,,,,Gen. Defender
24,Rhett Bazzo,West Coast,16.0,7.0,9.0,0.44,0.56,7.0,0.0,1.0,Key Defender
24,Sandy Brock,West Coast,13.0,7.0,6.0,0.54,0.46,4.0,0.0,1.0,Key Defender
24,Tim Kelly,West Coast,24.0,9.0,15.0,0.38,0.62,3.0,0.0,2.0,Mid-Forward
24,Tom Cole,West Coast,20.0,13.0,7.0,0.65,0.35,7.0,0.0,5.0,Gen. Defender
24,Tom McCarthy,West Coast,17.0,9.0,8.0,0.53,0.47,4.0,0.0,6.0,Gen. Defender
24,Tyler Brockman,West Coast,6.0,4.0,2.0,0.67,0.33,2.0,0.0,2.0,Gen. Forward
24,Tyrell Dewar,West Coast,,,,,,,,,Midfielder
