Round,Player,Team,Position,MatchId,CoachesVotes,RatingPoints,EstimatedRating,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,GoalAssists,ScoreInvolvements,Tackles,PressureActs,Hitouts
13,Isaac Quaynor,Collingwood,Gen. Defender,20251308,0,8.7,7.37,118,100,0.03,0,80,15,10,25,76.0,517,3,4,2,4,2,5,0,0,9,1,0,0,0,0,0,1,4,11,0
13,Ned Long,Collingwood,Midfielder,20251308,0,7.8,10.58,84,101,0.03,0,71,11,10,21,61.9,186,3,7,5,6,5,2,54,0,5,0,0,3,1,1,1,5,7,26,0
13,Scott Pendlebury,Collingwood,Midfielder,20251308,2,7.8,11.06,112,109,0.44,7,81,13,16,29,89.7,316,4,7,7,2,2,2,71,3,10,0,0,0,0,0,2,6,2,16,0
13,Jamie Elliott,Collingwood,Gen. Forward,20251308,0,7.3,8.94,41,29,0.0,0,82,3,4,7,100.0,58,0,2,2,2,2,1,0,0,2,0,0,1,1,0,0,2,0,2,0
13,Brody Mihocek,Collingwood,Key Forward,20251308,0,7.2,7.97,37,40,0.0,0,83,4,2,6,50.0,127,0,4,1,4,1,1,0,0,2,0,1,1,1,0,0,2,3,10,1
13,Darcy Moore,Collingwood,Key Defender,20251308,0,6.1,11.08,53,44,0.0,0,98,4,6,10,80.0,135,1,3,1,3,1,4,0,0,6,2,1,0,0,0,0,0,1,3,0
13,Billy Frampton,Collingwood,Key Defender,20251308,0,4.9,7.44,63,64,0.01,0,93,10,5,15,86.7,47,0,1,0,1,0,5,0,0,8,3,0,0,0,0,0,2,0,4,0
13,William Hayes,Collingwood,Gen. Forward,20251308,0,4.8,5.03,44,38,0.0,0,71,7,2,9,88.9,297,3,1,0,1,0,1,0,0,3,0,0,1,1,0,1,2,0,8,0
13,Lachlan Sullivan,Collingwood,Gen. Forward,20251308,0,2.6,8.18,32,38,0.0,0,81,3,6,9,66.7,124,1,2,1,1,1,0,0,1,1,0,0,0,0,0,0,3,4,10,0
13,Will Hoskin-Elliott,Collingwood,Gen. Forward,20251308,0,2.4,2.97,42,34,0.0,0,25,5,0,5,80.0,48,0,0,0,0,0,3,0,0,5,3,0,1,0,0,0,2,1,2,0
13,Edward Allan,Collingwood,Midfielder,20251308,0,2.3,8.61,21,33,0.0,0,59,4,7,11,54.5,151,0,3,2,0,0,2,0,1,2,0,0,0,0,0,0,1,1,11,0
13,Bobby Hill,Collingwood,Gen. Forward,20251308,0,1.5,8.84,51,65,0.0,0,74,7,3,10,40.0,228,1,3,2,2,1,0,0,1,4,0,0,4,1,2,0,4,4,10,0
15,Darcy Cameron,Collingwood,Ruck,20251505,10,22.5,12.11,156,128,2.08,34,81,16,3,19,63.2,436,3,12,2,5,1,3,77,6,8,2,3,4,2,1,0,8,2,11,28
15,Nick Daicos,Collingwood,Midfielder,20251505,8,20.5,14.44,157,102,2.49,58,90,17,13,30,73.3,416,9,14,9,7,6,9,55,5,3,1,0,1,1,0,2,9,3,8,0
15,Patrick Lipinski,Collingwood,Mid-Forward,20251505,6,19.7,8.58,138,125,0.96,7,86,14,12,26,65.4,404,8,9,8,6,6,3,0,2,9,2,0,2,2,0,0,10,5,11,0
15,Jack Crisp,Collingwood,Midfielder,20251505,0,16.9,13.04,110,109,0.01,0,84,12,4,16,75.0,248,3,6,4,4,3,3,35,2,6,1,0,1,1,0,0,6,10,28,0
