Round,Player,Team,Position,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,DispDiff,KickDiff,HbDiff,MarkDiff
3,Jake Bowey,Melbourne,Gen. Defender,26.0,14.0,12.0,0.54,0.46,6.0,1.0,2.0,3.43,-1.78,5.22,0.83
3,Jake Melksham,Melbourne,Key Forward,8.0,6.0,2.0,0.75,0.25,2.0,1.0,1.0,-1.79,-1.53,-0.26,-1.58
3,Kade Chandler,Melbourne,Gen. Forward,13.0,7.0,6.0,0.54,0.46,5.0,1.0,3.0,-1.61,-1.13,-0.48,1.22
3,Max Gawn,Melbourne,Ruck,15.0,8.0,7.0,0.53,0.47,5.0,0.0,2.0,-5.74,-2.3,-3.44,-0.7
3,Steven May,Melbourne,Key Defender,20.0,15.0,5.0,0.75,0.25,4.0,0.0,0.0,2.31,0.69,1.62,-3.06
3,Tom McDonald,Melbourne,Key Defender,17.0,12.0,5.0,0.71,0.29,6.0,0.0,1.0,2.59,2.41,0.18,-0.12
3,Tom Sparrow,Melbourne,Gen. Forward,14.0,8.0,6.0,0.57,0.43,5.0,0.0,4.0,0.96,0.41,0.54,1.5
3,Trent Rivers,Melbourne,Gen. Defender,22.0,13.0,9.0,0.59,0.41,9.0,0.0,2.0,0.65,-0.17,0.83,3.57
3,Xavier Lindsay,Melbourne,Midfielder,,,,,,,,,,,,
4,Bayley Fritsch,Melbourne,Gen. Forward,17.0,10.0,7.0,0.59,0.41,7.0,0.0,1.0,4.46,2.5,1.96,2.32
4,Caleb Windsor,Melbourne,Gen. Defender,16.0,9.0,7.0,0.56,0.44,3.0,0.0,1.0,1.77,0.0,1.76,0.0
4,Charlie Spargo,Melbourne,Gen. Forward,,,,,,,,,,,,
4,Christian Petracca,Melbourne,Mid-Forward,21.0,10.0,11.0,0.48,0.52,3.0,2.0,1.0,-4.48,-1.52,-2.96,-0.56
4,Christian Salem,Melbourne,Gen. Defender,18.0,10.0,8.0,0.56,0.44,7.0,0.0,3.0,-4.91,-6.17,1.26,-0.65
4,Clayton Oliver,Melbourne,Midfielder,30.0,14.0,16.0,0.47,0.53,5.0,0.0,3.0,4.45,3.18,1.27,2.14
4,Daniel Turner,Melbourne,Key Defender,8.0,6.0,2.0,0.75,0.25,4.0,1.0,3.0,-4.21,-2.95,-1.26,-2.16
4,Ed Langdon,Melbourne,Mid-Forward,15.0,9.0,6.0,0.6,0.4,3.0,1.0,3.0,-4.04,-0.78,-3.26,-2.0
4,Harrison Petty,Melbourne,Key Forward,5.0,2.0,3.0,0.4,0.6,2.0,0.0,1.0,-3.63,-3.58,-0.05,-2.05
4,Harry Sharp,Melbourne,Gen. Forward,,,,,,,,,,,,
4,Harvey Langford,Melbourne,Midfielder,11.0,4.0,7.0,0.36,0.64,0.0,1.0,1.0,-6.95,-5.46,-1.5,-3.23
4,Jack Henderson,Melbourne,Gen. Forward,9.0,6.0,3.0,0.67,0.33,3.0,0.0,1.0,-1.0,1.0,-2.0,0.8
4,Jack Viney,Melbourne,Midfielder,15.0,8.0,7.0,0.53,0.47,1.0,0.0,3.0,-6.89,-2.11,-4.78,-1.61
4,Jacob van Rooyen,Melbourne,Key Forward,10.0,4.0,6.0,0.4,0.6,1.0,1.0,3.0,-0.31,-1.25,0.94,-1.88
4,Jake Bowey,Melbourne,Gen. Defender,20.0,16.0,4.0,0.8,0.2,2.0,0.0,3.0,-2.57,0.22,-2.78,-3.17
4,Jake Melksham,Melbourne,Key Forward,8.0,5.0,3.0,0.62,0.38,3.0,0.0,2.0,-1.79,-2.53,0.74,-0.58
4,Kade Chandler,Melbourne,Gen. Forward,11.0,8.0,3.0,0.73,0.27,3.0,0.0,2.0,-3.61,-0.13,-3.48,-0.78
4,Kysaiah Pickett,Melbourne,Mid-Forward,22.0,12.0,10.0,0.55,0.45,5.0,0.0,4.0,2.45,-1.7,4.15,1.95
4,Max Gawn,Melbourne,Ruck,15.0,8.0,7.0,0.53,0.47,4.0,0.0,3.0,-5.74,-2.3,-3.44,-1.7
4,Steven May,Melbourne,Key Defender,27.0,24.0,3.0,0.89,0.11,10.0,0.0,0.0,9.31,9.69,-0.38,2.94
4,Tom McDonald,Melbourne,Key Defender,17.0,14.0,3.0,0.82,0.18,10.0,0.0,3.0,2.59,4.41,-1.82,3.88
4,Tom Sparrow,Melbourne,Gen. Forward,5.0,3.0,2.0,0.6,0.4,2.0,0.0,3.0,-8.04,-4.59,-3.46,-1.5
4,Trent Rivers,Melbourne,Gen. Defender,13.0,5.0,8.0,0.38,0.62,2.0,0.0,0.0,-8.35,-8.17,-0.17,-3.43
5,Bayley Fritsch,Melbourne,Gen. Forward,10.0,6.0,4.0,0.6,0.4,4.0,2.0,5.0,-2.54,-1.5,-1.04,-0.68
5,Caleb Windsor,Melbourne,Gen. Defender,13.0,6.0,7.0,0.46,0.54,5.0,0.0,2.0,-1.23,-3.0,1.76,2.0
5,Charlie Spargo,Melbourne,Gen. Forward,12.0,6.0,6.0,0.5,0.5,2.0,0.0,1.0,2.4,1.4,1.0,-0.1
5,Christian Petracca,Melbourne,Mid-Forward,27.0,13.0,14.0,0.48,0.52,6.0,0.0,5.0,1.52,1.48,0.04,2.44
5,Christian Salem,Melbourne,Gen. Defender,21.0,15.0,6.0,0.71,0.29,10.0,0.0,2.0,-1.91,-1.17,-0.74,2.35
5,Clayton Oliver,Melbourne,Midfielder,24.0,6.0,18.0,0.25,0.75,2.0,0.0,9.0,-1.55,-4.82,3.27,-0.86
5,Ed Langdon,Melbourne,Mid-Forward,25.0,19.0,6.0,0.76,0.24,12.0,1.0,1.0,5.96,9.22,-3.26,7.0
5,Harrison Petty,Melbourne,Key Forward,10.0,5.0,5.0,0.5,0.5,5.0,1.0,0.0,1.37,-0.58,1.95,0.95
5,Harry Sharp,Melbourne,Gen. Forward,,,,,,,,,,,,
5,Harvey Langford,Melbourne,Midfielder,23.0,11.0,12.0,0.48,0.52,5.0,0.0,1.0,5.05,1.54,3.5,1.77
5,Jack Henderson,Melbourne,Gen. Forward,,,,,,,,,,,,
5,Jack Viney,Melbourne,Midfielder,21.0,11.0,10.0,0.52,0.48,2.0,0.0,5.0,-0.89,0.89,-1.78,-0.61
5,Jacob van Rooyen,Melbourne,Key Forward,7.0,2.0,5.0,0.29,0.71,1.0,0.0,2.0,-3.31,-3.25,-0.06,-1.88
5,Jake Bowey,Melbourne,Gen. Defender,23.0,18.0,5.0,0.78,0.22,6.0,0.0,2.0,0.43,2.22,-1.78,0.83
5,Jake Melksham,Melbourne,Key Forward,7.0,5.0,2.0,0.71,0.29,3.0,0.0,2.0,-2.79,-2.53,-0.26,-0.58
5,Kade Chandler,Melbourne,Gen. Forward,11.0,7.0,4.0,0.64,0.36,3.0,0.0,6.0,-3.61,-1.13,-2.48,-0.78
5,Kysaiah Pickett,Melbourne,Mid-Forward,23.0,18.0,5.0,0.78,0.22,6.0,2.0,1.0,3.45,4.3,-0.85,2.95
5,Max Gawn,Melbourne,Ruck,22.0,7.0,15.0,0.32,0.68,4.0,0.0,2.0,1.26,-3.3,4.56,-1.7
