Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
1,Paul Curtis,North Melbourne,13.0,8.0,5.0,0.62,0.38,4.0,3.0,4.0,Gen. Forward
1,Robert Hansen Jr,North Melbourne,15.0,6.0,9.0,0.4,0.6,1.0,0.0,0.0,Mid-Forward
1,Tom Powell,North Melbourne,27.0,13.0,14.0,0.48,0.52,7.0,0.0,8.0,Midfielder
1,Tristan Xerri,North Melbourne,17.0,4.0,13.0,0.24,0.76,4.0,0.0,7.0,Ruck
1,Will Phillips,North Melbourne,,,,,,,,,Midfielder
2,Aidan Corr,North Melbourne,17.0,14.0,3.0,0.82,0.18,7.0,0.0,0.0,Key Defender
2,Bailey Scott,North Melbourne,17.0,11.0,6.0,0.65,0.35,8.0,1.0,2.0,Midfielder
2,Caleb Daniel,North Melbourne,31.0,25.0,6.0,0.81,0.19,6.0,0.0,3.0,Gen. Defender
2,Cameron Zurhaar,North Melbourne,17.0,12.0,5.0,0.71,0.29,3.0,4.0,1.0,Gen. Forward
2,Charlie Comben,North Melbourne,16.0,13.0,3.0,0.81,0.19,12.0,0.0,1.0,Key Defender
2,Colby McKercher,North Melbourne,17.0,11.0,6.0,0.65,0.35,1.0,1.0,2.0,Gen. Defender
2,Darcy Tucker,North Melbourne,16.0,9.0,7.0,0.56,0.44,4.0,0.0,2.0,Gen. Defender
2,Dylan Stephens,North Melbourne,,,,,,,,,Midfielder
2,Finn O'Sullivan,North Melbourne,12.0,9.0,3.0,0.75,0.25,2.0,0.0,0.0,Gen. Defender
2,Harry Sheezel,North Melbourne,28.0,15.0,13.0,0.54,0.46,7.0,0.0,2.0,Mid-Forward
2,Jack Darling,North Melbourne,14.0,8.0,6.0,0.57,0.43,4.0,2.0,3.0,Key Forward
2,Jacob Konstanty,North Melbourne,,,,,,,,,Gen. Forward
2,Jy Simpkin,North Melbourne,24.0,9.0,15.0,0.38,0.62,6.0,1.0,2.0,Mid-Forward
2,Luke Davies-Uniacke,North Melbourne,23.0,9.0,14.0,0.39,0.61,2.0,0.0,7.0,Midfielder
2,Luke McDonald,North Melbourne,15.0,9.0,6.0,0.6,0.4,6.0,0.0,0.0,Gen. Defender
2,Luke Parker,North Melbourne,22.0,10.0,12.0,0.45,0.55,3.0,1.0,2.0,Midfielder
2,Nick Larkey,North Melbourne,10.0,6.0,4.0,0.6,0.4,3.0,3.0,2.0,Key Forward
2,Paul Curtis,North Melbourne,22.0,13.0,9.0,0.59,0.41,6.0,3.0,4.0,Gen. Forward
2,Robert Hansen Jr,North Melbourne,15.0,7.0,8.0,0.47,0.53,3.0,0.0,1.0,Mid-Forward
2,Toby Pink,North Melbourne,12.0,10.0,2.0,0.83,0.17,9.0,0.0,3.0,Key Defender
2,Tom Powell,North Melbourne,31.0,15.0,16.0,0.48,0.52,2.0,1.0,2.0,Midfielder
2,Tristan Xerri,North Melbourne,20.0,5.0,15.0,0.25,0.75,2.0,1.0,2.0,Ruck
2,Will Phillips,North Melbourne,,,,,,,,,Midfielder
3,Aidan Corr,North Melbourne,14.0,12.0,2.0,0.86,0.14,4.0,0.0,1.0,Key Defender
3,Bailey Scott,North Melbourne,12.0,8.0,4.0,0.67,0.33,7.0,0.0,0.0,Midfielder
3,Caleb Daniel,North Melbourne,33.0,22.0,11.0,0.67,0.33,9.0,0.0,0.0,Gen. Defender
3,Cameron Zurhaar,North Melbourne,8.0,5.0,3.0,0.62,0.38,2.0,1.0,5.0,Gen. Forward
